,country,issue_country,year,chart_survival,Streams,country_language,issue_country_language,common_language,dist_social,country_iso3,issue_country_iso3,dist_cultural,dist_geo,dist_eco,home_bias
39,AE,NZ,2021,14,37853,['ar'],"['en', 'mi']",0,7.121492664862555e-05,ARE,NZL,4.669698348178165,14269.963,99.48174670453785,0
40,AE,PH,2019,126,153206,['ar'],['en'],0,1.8660894230051505e-05,ARE,PHL,1.7279790861152746,7004.581,94.64365317775624,0
41,AE,PH,2020,391,533786,['ar'],['en'],0,1.8660894230051505e-05,ARE,PHL,1.7279790861152746,7004.581,,0
42,AE,PH,2021,211,378616,['ar'],['en'],0,1.8660894230051505e-05,ARE,PHL,1.7279790861152746,7004.581,123.55632765062032,0
43,AE,RU,2019,10,10724,['ar'],['ru'],0,,ARE,RUS,3.679556111581724,3739.195,83.56406101167182,0
44,AE,RU,2020,334,1053743,['ar'],['ru'],0,,ARE,RUS,3.679556111581724,3739.195,,0
45,AE,RU,2021,175,349235,['ar'],['ru'],0,,ARE,RUS,3.679556111581724,3739.195,53.71457584089761,0
46,AE,SE,2019,54,72854,['ar'],['sv'],0,0.00014808233377758035,ARE,SWE,5.5040493000419,4796.377,149.5138519003953,0
47,AE,SE,2020,282,423168,['ar'],['sv'],0,0.00014808233377758035,ARE,SWE,5.5040493000419,4796.377,,0
48,AE,SE,2021,154,197120,['ar'],['sv'],0,0.00014808233377758035,ARE,SWE,5.5040493000419,4796.377,107.99924909733271,0
49,AE,US,2019,13216,25070922,['ar'],['en'],0,0.0002765486725663717,ARE,USA,4.135427761939178,11359.121,29.655665552876194,0
50,AE,US,2020,42004,87520388,['ar'],['en'],0,0.0002765486725663717,ARE,USA,4.135427761939178,11359.121,,0
51,AE,US,2021,26164,59350186,['ar'],['en'],0,0.0002765486725663717,ARE,USA,4.135427761939178,11359.121,,0
52,AE,ZA,2020,14,17007,['ar'],"['af', 'en', 'nr', 'st', 'ss', 'tn', 'ts', 've', 'xh', 'zu']",0,0.00015762925598991173,ARE,ZAF,3.0567459808414723,6257.806,,0
53,AE,ZA,2021,4,4495,['ar'],"['af', 'en', 'nr', 'st', 'ss', 'tn', 'ts', 've', 'xh', 'zu']",0,0.00015762925598991173,ARE,ZAF,3.0567459808414723,6257.806,32.6135220447816,0
54,AL,AU,2017,136,80723072,['sq'],['en'],0,0.0004409171075837742,ALB,AUS,3.966539800292072,15620.515,24775.180430128716,0
55,AL,AU,2018,266,377472981,['sq'],['en'],0,0.0004409171075837742,ALB,AUS,3.966539800292072,15620.515,23780.229033115742,0
56,AL,BE,2017,63,33308622,['sq'],"['nl', 'fr', 'de']",0,4.767580452920143e-05,ALB,BEL,2.7515292995112275,1589.107,5745.130382101507,0
57,AL,BG,2018,10,7275971,['sq'],['bg'],0,0.0001388888888888889,ALB,BGR,0.42655712615440394,324.046,23.22187071871052,0
58,AL,BR,2017,129,125855673,['sq'],['pt'],0,0.0018148820326678765,ALB,BRA,2.786699247029448,9414.849,1248.4402421659086,0
59,AL,BR,2018,550,455420650,['sq'],['pt'],0,0.0018148820326678765,ALB,BRA,2.786699247029448,9414.849,908.0323393619648,0
60,AL,CA,2018,11,8338494,['sq'],"['en', 'fr']",0,0.00017838030681412772,ALB,CAN,3.4410273320020344,7255.303,7540.531375639717,0
61,AL,CH,2017,1,461561,['sq'],"['de', 'fr', 'it']",0,2.7552763542183283e-05,ALB,CHE,3.1340202291129295,1167.984,645.9004201295583,0
62,AL,CH,2018,68,80908012,['sq'],"['de', 'fr', 'it']",0,2.7552763542183283e-05,ALB,CHE,3.1340202291129295,1167.984,1311.130280453017,0
63,AL,CO,2017,6,3737079,['sq'],['es'],0,0.0021413276231263384,ALB,COL,4.800521576142144,10083.006,1645.4504136048442,0
64,AL,CO,2018,222,212601721,['sq'],['es'],0,0.0021413276231263384,ALB,COL,4.800521576142144,10083.006,1569.7156391994226,0
65,AL,CZ,2018,4,2558212,['sq'],"['cs', 'sk']",0,0.000333667000333667,ALB,CZE,0.9645675202410545,1060.922,1412.7355100054988,0
66,AL,DE,2017,756,757801177,['sq'],['de'],0,2.7354542221735918e-05,ALB,DEU,1.673248451195656,1336.744,1347.0011934006425,0
67,AL,DE,2018,781,613653989,['sq'],['de'],0,2.7354542221735918e-05,ALB,DEU,1.673248451195656,1336.744,1620.4844855430656,0
68,AL,ES,2017,209,109001642,['sq'],['es'],0,0.0002918004085205719,ALB,ESP,1.8693669846723202,1977.061,391.44741829659455,0
69,AL,ES,2018,22,12475323,['sq'],['es'],0,0.0002918004085205719,ALB,ESP,1.8693669846723202,1977.061,636.1600950843787,0
70,AL,FI,2017,1,644384,['sq'],"['fi', 'sv']",0,0.00019592476489028212,ALB,FIN,2.7957383081765537,2122.475,2537.9266475971685,0
71,AL,FR,2017,723,918672411,['sq'],['fr'],0,0.00010716964955524595,ALB,FRA,1.9814940626777169,1603.534,2795.2440511657956,0
72,AL,FR,2018,237,179647539,['sq'],['fr'],0,0.00010716964955524595,ALB,FRA,1.9814940626777169,1603.534,2995.1042375394077,0
73,AL,GB,2017,10481,12706620846,['sq'],['en'],0,4.058935747047124e-05,ALB,GBR,3.280591499590979,1895.345,5510.944984356344,0
74,AL,GB,2018,9583,10552118572,['sq'],['en'],0,4.058935747047124e-05,ALB,GBR,3.280591499590979,1895.345,4826.86613944061,0
75,AL,IE,2017,18,7709307,['sq'],"['ga', 'en']",0,0.00013937282229965157,ALB,IRL,3.578147376970816,2355.755,4361.1083000985755,0
76,AL,IL,2018,8,6038731,['sq'],"['he', 'ar']",0,,ALB,ISR,1.2141754484149203,1680.884,1466.3242035941335,0
77,AL,IT,2018,88,62466693,['sq'],['it'],0,1.0756852114797126e-05,ALB,ITA,0.8993996487079366,611.763,91.37200655640143,0
78,AL,JP,2018,1,585978,['sq'],['ja'],0,0.0041841004184100415,ALB,JPN,2.156961696621982,9501.873,6189.561019880026,0
79,AL,KR,2017,86,62764523,['sq'],['ko'],0,0.003205128205128205,ALB,KOR,2.2233748267980418,8562.792,4674.851117477478,0
80,AL,KR,2018,113,89593308,['sq'],['ko'],0,0.003205128205128205,ALB,KOR,2.2233748267980418,8562.792,9331.8501891373,0
81,AL,MX,2017,498,324308175,['sq'],['es'],0,0.0028653295128939827,ALB,MEX,5.290487533940322,10807.118,3207.3022047077297,0
82,AL,MX,2018,874,955437574,['sq'],['es'],0,0.0028653295128939827,ALB,MEX,5.290487533940322,10807.118,39981.46952513171,0
83,AL,NL,2017,1236,1272394491,['sq'],['nl'],0,0.00022143489813994686,ALB,NLD,3.193624670090789,1664.815,4145.2382502617165,0
84,AL,NL,2018,874,929818350,['sq'],['nl'],0,0.00022143489813994686,ALB,NLD,3.193624670090789,1664.815,4735.77085673851,0
85,AL,NO,2017,464,317439580,['sq'],"['no', 'nb', 'nn']",0,0.00011641443538998836,ALB,NOR,2.7633676963551568,2160.437,14245.638264312624,0
86,AL,NO,2018,303,239354651,['sq'],"['no', 'nb', 'nn']",0,0.00011641443538998836,ALB,NOR,2.7633676963551568,2160.437,12664.362831739449,0
87,AL,NZ,2017,196,155055073,['sq'],"['en', 'mi']",0,0.0010570824524312897,ALB,NZL,3.889418207429557,17971.896,21313.33635217373,0
88,AL,PT,2017,2,1260246,['sq'],['pt'],0,0.000572737686139748,ALB,PRT,2.0493119650154443,2472.398,1971.7233668358776,0
89,AL,SE,2017,983,1335834218,['sq'],['sv'],0,6.522306287503261e-05,ALB,SWE,3.8010129948073446,2006.998,4768.27292273996,0
90,AL,SE,2018,1082,1039677938,['sq'],['sv'],0,6.522306287503261e-05,ALB,SWE,3.8010129948073446,2006.998,6457.850757267284,0
91,AL,US,2017,42809,43605573175,['sq'],['en'],0,0.00021791239921551536,ALB,USA,3.6759698809939567,7770.42,8068.101752235599,0
92,AL,US,2018,49576,58219144100,['sq'],['en'],0,0.00021791239921551536,ALB,USA,3.6759698809939567,7770.42,8934.753805587374,0
93,AR,AE,2017,20,704418,"['es', 'gn']",['ar'],0,0.0013568521031207597,ARG,ARE,2.644221944065273,13557.196,390.6063163981503,0
94,AR,AE,2018,92,1615395,"['es', 'gn']",['ar'],0,0.0013568521031207597,ARG,ARE,2.644221944065273,13557.196,477.4880326152036,0
95,AR,AE,2019,5,96003,"['es', 'gn']",['ar'],0,0.0013568521031207597,ARG,ARE,2.644221944065273,13557.196,346.2467504898663,0
96,AR,AR,2017,8561,155498788,"['es', 'gn']","['es', 'gn']",1,5.366125367713741e-07,ARG,ARG,0.0,625.647,,1
97,AR,AR,2018,9236,291131401,"['es', 'gn']","['es', 'gn']",1,5.366125367713741e-07,ARG,ARG,0.0,625.647,,1
98,AR,AR,2019,14732,625859443,"['es', 'gn']","['es', 'gn']",1,5.366125367713741e-07,ARG,ARG,0.0,625.647,,1
99,AR,AR,2020,14564,583110429,"['es', 'gn']","['es', 'gn']",1,5.366125367713741e-07,ARG,ARG,0.0,625.647,,1
100,AR,AR,2021,7678,321200385,"['es', 'gn']","['es', 'gn']",1,5.366125367713741e-07,ARG,ARG,0.0,625.647,,1
101,AR,AU,2017,4,60236,"['es', 'gn']",['en'],0,0.0006157635467980296,ARG,AUS,2.933061899266997,11733.88,363.003950030497,0
102,AR,BE,2019,5,144530,"['es', 'gn']","['nl', 'fr', 'de']",0,0.0008389261744966443,ARG,BEL,3.6968118899393687,11326.757,375.3055919157235,0
103,AR,BE,2020,16,464602,"['es', 'gn']","['nl', 'fr', 'de']",0,0.0008389261744966443,ARG,BEL,3.6968118899393687,11326.757,366.4630929242635,0
104,AR,BG,2018,10,895921,"['es', 'gn']",['bg'],0,0.0016233766233766235,ARG,BGR,4.1199536083992445,11954.842,564.2668173111908,0
105,AR,BG,2019,71,8978844,"['es', 'gn']",['bg'],0,0.0016233766233766235,ARG,BGR,4.1199536083992445,11954.842,1454.8961634943694,0
106,AR,BR,2017,75,4997881,"['es', 'gn']",['pt'],0,0.0003068425897514575,ARG,BRA,1.8631121407899527,2353.257,5.089353989967202,0
107,AR,BR,2018,558,28987005,"['es', 'gn']",['pt'],0,0.0003068425897514575,ARG,BRA,1.8631121407899527,2353.257,3.2971526912415983,0
108,AR,BR,2019,111,2476962,"['es', 'gn']",['pt'],0,0.0003068425897514575,ARG,BRA,1.8631121407899527,2353.257,2.497602761910353,0
109,AR,CA,2017,54,3148610,"['es', 'gn']","['en', 'fr']",0,0.001040582726326743,ARG,CAN,2.46184897461655,9080.545,634.1901946840303,0
110,AR,CA,2018,475,13631420,"['es', 'gn']","['en', 'fr']",0,0.001040582726326743,ARG,CAN,2.46184897461655,9080.545,396.95466611213976,0
111,AR,CA,2019,561,22153464,"['es', 'gn']","['en', 'fr']",0,0.001040582726326743,ARG,CAN,2.46184897461655,9080.545,669.5144640908059,0
112,AR,CA,2020,79,2452195,"['es', 'gn']","['en', 'fr']",0,0.001040582726326743,ARG,CAN,2.46184897461655,9080.545,735.817959077405,0
113,AR,CH,2018,26,625200,"['es', 'gn']","['de', 'fr', 'it']",0,0.0002959455460195324,ARG,CHE,3.3688657708174357,11214.514,170.2278000278974,0
114,AR,CH,2019,236,15528940,"['es', 'gn']","['de', 'fr', 'it']",0,0.0002959455460195324,ARG,CHE,3.3688657708174357,11214.514,106.24940794591146,0
115,AR,CH,2020,361,35841056,"['es', 'gn']","['de', 'fr', 'it']",0,0.0002959455460195324,ARG,CHE,3.3688657708174357,11214.514,101.81354388812066,0
116,AR,CH,2021,175,12668805,"['es', 'gn']","['de', 'fr', 'it']",0,0.0002959455460195324,ARG,CHE,3.3688657708174357,11214.514,125.20920846320884,0
117,AR,CL,2017,7,99263,"['es', 'gn']",['es'],1,5.36394357131363e-05,ARG,CHL,2.1059877123880706,1128.317,23.4300637258108,0
118,AR,CL,2021,97,3836317,"['es', 'gn']",['es'],1,5.36394357131363e-05,ARG,CHL,2.1059877123880706,1128.317,12.021173038600178,0
119,AR,CO,2017,88,2930008,"['es', 'gn']",['es'],1,0.0001169864295741694,ARG,COL,2.3331436006167574,4706.263,107.30454086055292,0
120,AR,CO,2018,529,32350465,"['es', 'gn']",['es'],1,0.0001169864295741694,ARG,COL,2.3331436006167574,4706.263,100.75574646549971,0
121,AR,CO,2019,42,936770,"['es', 'gn']",['es'],1,0.0001169864295741694,ARG,COL,2.3331436006167574,4706.263,77.29877036573959,0
122,AR,CO,2020,33,883755,"['es', 'gn']",['es'],1,0.0001169864295741694,ARG,COL,2.3331436006167574,4706.263,59.3600734644414,0
123,AR,DE,2017,176,2784910,"['es', 'gn']",['de'],0,0.0006934812760055479,ARG,DEU,3.9503940921817655,11934.321,185.01404872926292,0
124,AR,DE,2018,37,973986,"['es', 'gn']",['de'],0,0.0006934812760055479,ARG,DEU,3.9503940921817655,11934.321,184.71326232694477,0
125,AR,DE,2019,16,422757,"['es', 'gn']",['de'],0,0.0006934812760055479,ARG,DEU,3.9503940921817655,11934.321,193.12482418669015,0
126,AR,DE,2020,416,12055318,"['es', 'gn']",['de'],0,0.0006934812760055479,ARG,DEU,3.9503940921817655,11934.321,239.7081480251155,0
127,AR,DE,2021,111,3158159,"['es', 'gn']",['de'],0,0.0006934812760055479,ARG,DEU,3.9503940921817655,11934.321,287.53329336554464,0
128,AR,DK,2020,5,128643,"['es', 'gn']",['da'],0,0.00047709923664122136,ARG,DNK,4.649978865590034,12089.466,225.81441848951644,0
129,AR,ES,2017,1949,50233120,"['es', 'gn']",['es'],1,6.546644844517185e-05,ARG,ESP,2.037513195583995,10065.85,59.16661267206686,0
130,AR,ES,2018,1783,54316182,"['es', 'gn']",['es'],1,6.546644844517185e-05,ARG,ESP,2.037513195583995,10065.85,61.96700704990134,0
131,AR,ES,2019,1293,34173610,"['es', 'gn']",['es'],1,6.546644844517185e-05,ARG,ESP,2.037513195583995,10065.85,46.554708546896585,0
132,AR,ES,2020,1069,36018247,"['es', 'gn']",['es'],1,6.546644844517185e-05,ARG,ESP,2.037513195583995,10065.85,116.69382693785083,0
133,AR,ES,2021,964,54649364,"['es', 'gn']",['es'],1,6.546644844517185e-05,ARG,ESP,2.037513195583995,10065.85,75.72310700746424,0
134,AR,FR,2017,861,55108658,"['es', 'gn']",['fr'],0,0.0007575757575757576,ARG,FRA,2.9755337739636394,11072.252,151.9617308907666,0
135,AR,FR,2018,346,12349732,"['es', 'gn']",['fr'],0,0.0007575757575757576,ARG,FRA,2.9755337739636394,11072.252,189.63546678676417,0
136,AR,FR,2019,1,27323,"['es', 'gn']",['fr'],0,0.0007575757575757576,ARG,FRA,2.9755337739636394,11072.252,219.4698387772422,0
137,AR,FR,2020,523,31877808,"['es', 'gn']",['fr'],0,0.0007575757575757576,ARG,FRA,2.9755337739636394,11072.252,272.76872622391363,0
138,AR,FR,2021,150,5286514,"['es', 'gn']",['fr'],0,0.0007575757575757576,ARG,FRA,2.9755337739636394,11072.252,255.02094695226347,0
139,AR,GB,2017,5298,160026643,"['es', 'gn']",['en'],0,0.0011248593925759281,ARG,GBR,3.926697099990249,11147.477,395.3559994335703,0
140,AR,GB,2018,4488,126203340,"['es', 'gn']",['en'],0,0.0011248593925759281,ARG,GBR,3.926697099990249,11147.477,399.5844426750019,0
141,AR,GB,2019,4990,167864085,"['es', 'gn']",['en'],0,0.0011248593925759281,ARG,GBR,3.926697099990249,11147.477,400.2112438481804,0
142,AR,GB,2020,1556,66150640,"['es', 'gn']",['en'],0,0.0011248593925759281,ARG,GBR,3.926697099990249,11147.477,371.2574197549154,0
143,AR,GB,2021,1178,52607733,"['es', 'gn']",['en'],0,0.0011248593925759281,ARG,GBR,3.926697099990249,11147.477,433.8289262071316,0
144,AR,IS,2020,26,916484,"['es', 'gn']",['is'],0,0.0006724949562878278,ARG,ISL,0.5179148123678319,11455.871,19332.29574016071,0
145,AR,IT,2020,9,267807,"['es', 'gn']",['it'],0,0.0002464268112370626,ARG,ITA,3.355724453701721,11173.557,149.31880981788868,0
146,AR,IT,2021,24,1319561,"['es', 'gn']",['it'],0,0.0002464268112370626,ARG,ITA,3.355724453701721,11173.557,234.26670044312732,0
147,AR,JP,2018,1,13920,"['es', 'gn']",['ja'],0,0.002398081534772182,ARG,JPN,4.327736549563963,18372.045,125.21034217344808,0
148,AR,JP,2020,2,68035,"['es', 'gn']",['ja'],0,0.002398081534772182,ARG,JPN,4.327736549563963,18372.045,262.07924815801545,0
149,AR,JP,2021,4,129360,"['es', 'gn']",['ja'],0,0.002398081534772182,ARG,JPN,4.327736549563963,18372.045,299.7497862908498,0
